descricao;ean
GEL P/ ULTRA SOM GALAO 5KG;7.89892E+12
PURILON GEL 25G;5.70178E+12
GEL CONDUTOR PARA EXAME, HIPOALERGENICO E INODORO. 100ML;7.89892E+12
GEL P ECG 1KG MULTIGEL;7.89892E+12
GEL PARA ECG 100G MULTIGEL;7.89892E+12
GEL P/ECG 1KG MULTIGEL;7.89892E+12
METICEL (HIPROMELOSE/HPMC) 2% - SERINGA 1,5 ML;7.89891E+12
GEL P/ECG 1 KILO;7.8989E+12
MULTIGEL - GEL PARA ELETRODO FRASCO DE 100ML.;7.89892E+12
GEL PARA ECG 100GRS (CARBOGEL);7.89811E+12
GERMI RIO QUATERNARIO DE AMONIO 5 LITROS RIOQUIMICA;9.9E+12
MULTIGEL -GEL P/ULTRASSOM 1KG.;7.89892E+12
GEL P/ECG 100GR FRASCO HAL;7.8989E+12
POLIHEXAM SOLUGEL 100 ML SILK;7.89894E+12
DEBRIGEL ALG CA 30G SILK;7.89891E+12
METICEL 4% 1,5 ML - .;7.89891E+12
METICEL 2% 1,5ML - .;7.89891E+12
MULTIGEL - GEL P/ECG;7.89892E+12
MULTIGEL - GEL P/ECG (100ML);7.89892E+12
GEL P/ECG 100GR BAG HAL;7.8989E+12
GEL PARA ULTRASSOM/ECG 100G INCOLOR CLINIGEL MULTIGEL;7.89892E+12
GEL P/ULTRASOM 01KG BAG HAL;7.8989E+12
DEBRIGEL ALG CA 85G SILK;7.89891E+12
MULTIGEL - GEL P/ ULTRASSOM 1KG;7.89892E+12
MULTIGEL - GEL PARA ECG - EMBALAGEM 100ML;7.89892E+12
MULTIGEL - GEL PARA ECG - EMBALAGEM 5 LITROS;7.89892E+12
GEL P/ ULTRASSON 100GR C/112 (TRANSP)-CARBOGEL;7.89811E+12
METILCELULOSE 2% SERINGA 1,5ML;7.89815E+12
HIALURONATO DE SODIO - AMVISC PLUS 0,8 - CODIGO: 60081L *-BL INDUSTRIA OTICA LTDA;16674
GEL GEL P ULTRASSONOGRAFICA 100 ML MULTIGEL;7.89811E+12
GEL PULTRASSONOGRAFIA 5000ML MULTIGEL;7.89892E+12
DEBRIGEL-ALGINATO DE CALCIO TUBO 85GR;7.89891E+12
GEL P/ ULTRASSONOGRAFIA GALAO 5 LT;7.89E+12
EASY LUB TRADICIONAL INT 50 G TEU.;7.89611E+12
GEL P/ ULTRASSOM 5 KG PLURIGEL/CARBOGEL;5E+12
K-Y GEL LUBRIF INT WARMING 71G;7.89101E+12
ALFAPORACTANTO CUROSURF 240 MG FR 03 ML;7.89667E+12
VENLAFAXINA 75MG (VENLIFT OD) CX C/ 30CPR;8.90386E+12
HIOSCINA COMPOSTA BUTILBROMETO DE ESCOPOLAMINA4MG/ML + DIPIRONA SODICA500MG/ML INJ 5ML HYPOCINA HYPOFARMA;7.89812E+12
FENITOINA 50MG/ML INJ 5ML C-1 GENERICO HIPOLABOR;7.89812E+12
SACARATO DE HIDROXIDO  FERRICO 20MG/ML IV SUCROFER UNIAO QUIMICA;8.90234E+12
SORO  GLICOSADO 5% INJ 250ML  KP FRESENIUS;7.89795E+12
EPINEFRINA 1MG/ML INJ 1ML ADREN HIPOLABOR;7.89812E+12
SORO  GLICOSADO 5% INJ 500ML KP FRESENIUS;7.89795E+12
SORO  FISIOLOGICO 0,9% INJ 100ML KP CLORETO DE SODIO FRESENIUS;7.89795E+12
RINGER C/LACTATO INJ 500ML KP FRESENIUS;7.89795E+12
CLORETO DE SODIO 0,9% INJ 10ML ISOFARMA;2.78984E+13
SORO  FISIOLOGICO 0,9% INJ 250 ML KP CLORETO DE SODIO FRESENIUS;7.89795E+12
SORO  GLICOSADO 5% INJ 100ML  KP FRESENIUS;7.89795E+12
SORO  FISIOLOGICO 0,9% INJ 500ML KP CLORETO DE SODIO FRESENIUS;7.89795E+12
METILERGOMETRINA 0,2MG INJ 1ML ERGOMETRIN UNIAO QUIMICA;7.89601E+12
ACIDO TRANEXAMICO 50MG/ML INJ 5ML GENERICO HIPOLABOR;7.89847E+12
AGUA  PARA INJECAO INJ 500ML KP GENERICO FRESENIUS;7.89795E+12
FENTANILA 50UG/ML INJ 10ML  CX/50 A-1 GENERICO HIPOLABOR;7.89847E+12
HEPARINA SOD. 5.000UI INJ 0,25ML  CX25AMP HEMOFOL CRISTALIA;7.89668E+12
SIMETICONA 75MG GOTAS 10ML GENERICO HIPOLABOR;7.89812E+12
CLORETO DE SODIO 10% INJ 10ML ISOFARMA;7.89836E+12
AGUA  PARA INJECAO INJ 20ML GENERICO ISOFARMA;7.89836E+12
SORO FISIOLGICO 0,9% 100ML (CX C/ 100 BOLSAS);7.89817E+12
SIMETICONA GOTAS GEN. CX/200X10ML FR;7.89847E+12
SOL RINGER SIMPLES 500ML SF.;7.89795E+12
CLORETO DE SODIO A 0,9%  AMP 10ML.;7.89836E+12
AGUA PARA INJECAO  AMP 10ML.;7.89836E+12
BROMETO IPRATROPIO 20ML GEN.;7.89847E+12
CLOR DE CIPROFLOXACINO 500MG C/14 COMP GEN.*;7.8981E+12
SORO CLORETO SODIO 0,9% 500ML KABIPAC SF.;7.89795E+12
SORO CLORETO SODIO 0,9% 250ML SF.;7.89795E+12
SORO CLORETO DE SODIO 0,9% SF 100ML SOLUFLEX.;7.89673E+12
SORO GLICOSE 5% 500ML SF.;7.89795E+12
SOL DE GLICERINA 12% 500ML ESTERIL + SONDA SF.;7.89817E+12
SORO CLORETO DE SODIO 0,9% SF 500ML SOLUFLEX.;7.89673E+12
PRATI-SAL TRADICIONAL C/50 SACHES 27,9G.;7.89815E+12
ALUMIMAX 100ML (HIDROXIDO DE ALUMINIO).;7.89813E+12
HEPARINA SUBCU 5.000UI C/25X0,25ML;7.89668E+12
GLICOSE 25% AMP 10ML;7.89836E+12
DESLANOSIDIO 0,2MG/ML AMP 2ML;7.89601E+12
SEVOFLURANO 1ML/1ML FR 100ML C1 (C1);7.89668E+12
MORFINA 0,2MG/ML 1ML A1 (A1);7.89668E+12
SOL. DE GLICOSE 5% 250ML S/F (FRASCO);7.89795E+12
SOL. DE GLICOSE 5% 500ML S/F C/24;7.89817E+12
SOL. FISIOLOGICA 0,9% 100ML S/F (BOLSA);7.89795E+12
SOL. FISIOLOGICA 0,9% 500ML S/F;7.89795E+12
HIDROCLOROTIAZIDA 25MG C/300CPR;7.89611E+12
AGUA PARA INJECAO 250ML S/F (FRASCO);7.89795E+12
METILDOPA 500MG 30CPR (G);7.896E+12
SOL. DE RINGER C/LACTATO 500ML S/F;7.89673E+12
AGUA PARA INJECAO 10ML;7.89817E+12
DIMETICONA 75MG/ML FR 10ML;7.89847E+12
SOL. FISIOLOGICA 0,9% 100ML S/F (FRASCO);7.89795E+12
SOL. DE GLICOSE 5% 500ML S/F (FRASCO);7.89795E+12
AMINOFILINA 240MG AMP 10 ML;7.89817E+12
AGUA PARA INJECAO 20ML;7.89836E+12
SOL. FISIOLOGICA 0,9% 500ML S/F (FRASCO);7.89795E+12
SULFATO DE MAGNESIO 50% AMP 10ML;7.89836E+12
NITROGLICERINA(TRIDIL)5MG/ML AMP 10ML;7.89668E+12
OMEPRAZOL 40MG AMP10ML+DIL50FA(UNIPRAZ.);7.89601E+12
NIFEDIPINA 10MG 450CPR;7.8991E+12
HIDROX. DE ALUMINIO 100ML;7.89813E+12
GLICOSE 50% AMP 10ML;7.89817E+12
CLORETO DE SODIO 0,9% AMP 10ML;7.89817E+12
NITROPRUS.SODIO(NIPRID)NITROP 25MG/ML2ML;7.89812E+12
SUP. DE GLICERINA INF. C/12;7.89651E+12
NITAZOXAMIDA(ANNITA)500MG 6CPR;7.89804E+12
MORFINA 10MG/ML 1ML A1 (A1);7.89812E+12
FENOTEROL 0,5% FR 20ML;7.89815E+12
SORO REHIDRAT. PO 27,9G 50ENV;7.89813E+12
ETILEFRINA 10MG/ML AMP 1ML;7.89601E+12
BICARB. DE SODIO 8,4% AMP 10ML;7.89817E+12
CEFALOTINA 1,0G 100FA;7.89601E+12
SOL. DE RINGER S/LACTATO 500ML S/F;7.89795E+12
ETOMIDATO 2MG/ML AMP 10ML;7.89668E+12
SOL. FISIOLOGICA 0,9% 250ML S/F;7.89817E+12
NEOCAINA 0,5% PES.10X4M (BUPIV+GLICOS);8.90234E+12
SOL. FISIOLOGICA 0,9% 250ML S/F (FRASCO);7.89795E+12
FLORAX SUSP. ADT FLAC 5 ML (C/100);7.89669E+12
OLEO MINERAL 100ML;7.89813E+12
FLUCONAZOL 150MG 500CAPS;7.89805E+12
FENTANILA 0,05MG/ML2ML(FENTANEST)A1 50U (A1);7.89668E+12
ESCOVA P/ASSEP. C/PVPI 48UN;7.89668E+12
SOL. DE GLICOSE 5% 100ML S/F (FRASCO);7.89795E+12
CLORETO DE POTASSIO 10% 10ML;7.89817E+12
CLORETO DE SODIO 20% AMP 10ML;7.89836E+12
FLORAX SUSP. PED. FLAC 5ML (C/100);7.89669E+12
SULFATO FERROSO 40MG C/500CPR;7.8962E+12
FLUCONAZOL 150MG 100CPR;7.89686E+12
ISOSSORBIDA(ISORDIL) 5MG SUBL 30CPR;7.89492E+12
SOL. FISIOLOGICA 0,9% 100ML S/F;7.89817E+12
HIOSCINA SIMPLES 1ML 20MG 6AMP;7.89611E+12
GLICONATO DE CALCIO 10% AMP 10 ML;7.89836E+12
HEMAX INJ 10.000 UI CX 01 (BIOSINTETICA);7.89618E+12
TECNOCRIS 1MG CX C/01 F/A 1ML - VINCRISTINA (+);7.89295E+12
B-PLATIN 150MG SOL. INJ. CX C/01 F/A 15ML - CARBOPLATINA (+);7.89601E+12
CLEXANE SAFETY LOCK 20MG 10 SERINGAS;7.89106E+12
CLEXANE SAFETY LOCK 40MG 10 SERINGAS;7.89607E+12
MEVATYL 27MG/ML 3FR X 10ML;7.89893E+12
METREXATO-METOTREXATO 2,5 MG CX C/24 COMP;7.89601E+12
PERMANGANATO DE POTASSIO 100MG CPRS;7.89892E+12
SULFATO FERROSO CPR.;7.89947E+12
ACIDO TRANEXAMICO 250MG/5ML AMP.5ML (HIPOLABOR-MG);7.89847E+12
AMINOFILINA 100 MG CPR (VITAPAN-GO);7.89805E+12
OLEO MINERAL 100MG/ML FR.100 ML;7.89818E+12
AMOXI+CLAV.POTASSIO 500MG/125M MG CPR (SANDOZ);7.8976E+12
AMINOFILINA 100MG APRES. CX/500 CPRS (VITAMEDIC);7.89805E+12
TOPIRAMATO 50MGCPRS (ZYDUS);7.89893E+12
ESCITALOPRAM 10MG CPRS (GEOLAB-GO);7.8991E+12
MIDAZOLAM 15MG GEN CPRS;7.89642E+12
12868 - DEXCLORFENIRAMINA 2 MG CPRS (GEOLAB-GO);7.8991E+12
CLOPIDOGREL 75 MG COMP. (SANDOZ);7.8976E+12
11382 - DEXCLORFENIRAMINA 2MG FRASCO 100ML (HIPOLABOR-MG);7.89847E+12
6118 - CARVEDILOL 6,25MG CPRS (NOVA QUIMICA);7.8953E+12
6034 - CARVEDILOL 12,5MG CPRS (NOVA QUIMICA);7.8953E+12
5879 - CARVEDILOL 3,125MG CPRS (NOVA QUIMICA);7.8953E+12
DOXAZOSINA 4MG CPRS (G) (SANDOZ);7.8976E+12
CLOPIDOGREL 75 MG CX/28 COMP (G) (SANDOZ);7.8976E+12
DEXCLORFENIRAMINA 2 MG COMP COMP (GEOLAB-GO);7.8991E+12
SAIS P/REHIDRAT.ORAL ENV. (NATULAB);7.89813E+12
HALOPERIDOL DECAN. 70,52MG/ML C/3 AMP. 1ML;7.89601E+12
HALOPERIDOL DECANOATO (70,52) = 50MG C/3 AMP.1ML;7.89601E+12
SEVOFLURANO 1ML/ML SOL INAL FR C/250 ML-GGREM - 513405703175111- (BIOCHIMICO-RJ);7.89741E+12
NITROGLICERINA 50 MG 10ML C/10 C/1 AMP (CRISTALIA-SP);7.89668E+12
FOSF.SOD. MONOB.+FOST.SOD.DIB130ML-GGREM - 540414090008903- (NATULAB);7.89813E+12
ONDANSETRONA 4 MG CX/100 AMP 2 ML (HALEX ISTAR-GO);7.89673E+12
MORFINA 10MG/ML CX/100 AMP 1ML *(A-1) GEN (HIPOLABOR-MG);7.89812E+12
CLOPIDOGREL 75 MG CX/28 COMP (G);7.8976E+12
MIDAZOLAN 50MG AMP 10ML (HIPOLABOR-MG);7.89812E+12
AMOXI+CLAV.POTASSIO 500MG/125 CPR (SANDOZ);7.8976E+12
10351 - AMOXI+CLAV.POTASSIO 500MG/125 MG CX C/21 CPRS (SANDOZ);7.8976E+12
RANITIDINA 150 MG GEN CPR (MEDQUIMICA-MG);7.89686E+12
LEVOFLOXACINO 5MG/ML INJ. BOL.100ML (CRISTALIA-SP);7.89668E+12
FOSF.SOD. MONOB.+FOST.SOD.DIB C/1 (NATULAB);7.89813E+12
RANITIDINA XAROPE 120ML (G) (NATIVITA);7.89785E+12
ONDANSETRONA 4 MG CX/100 AMP C/ 1 AMP (..);7.89673E+12
ROSUVASTATINA CALCICA 10MG CPRS (SANDOZ);7.8976E+12
DOXAZOSINA 4MG C/30 CPRS (G);7.8976E+12
BROMETO IPRATROPIO 0,25MG/ML FR.20 ML GEN;7.89611E+12
AMITRIPTILINA 25 MG CPR C/1000 (NEO QUIMICA);7.89671E+12
CARVEDILOL 12,5MG CPR C/1000 (NOVA QUIMICA);7.8953E+12
MED 339 - MIDAZOLAN 50MG APRES CX C/100 AMP 10ML (HIPOLABOR-MG);7.89812E+12
CLINDAMICINA 600 MG CX/ 50 AMP 4 ML (--);7.89812E+12
HALOPERIDOL 1MG CX/200 CPRS C/1 (CRISTALIA-SP);7.89668E+12
MED 260 - HALOPERIDOL DECAN. 70,52MG/ML APRES CX C/3 AMP. 1ML (UNIAO QUIMICA);7.89601E+12
MED 346 - MORFINA 10MG/ML APRES CX C/100 AMP 1ML (HIPOLABOR-MG);7.89812E+12
SECNIDAZOL 1000MG CPR DECNAZOL (PHARLAB-MG);7.89822E+12
MED 134 - CLINDAMICINA 300 MG CPR (UNIAO QUIMICA);7.89601E+12
MED169 - DEXCLORAFENIRAMINA 2MG CP (GEOLAB-GO);7.8991E+12
MED103 - CARVEDILOL 3,125MG CPR (NOVA QUIMICA);7.8953E+12
MED104 - CARVEDILOL 6,25MG CPR (NOVA QUIMICA);7.8953E+12
CARVEDILOL 12,5MG CPR CARDBET (NOVA QUIMICA);7.8953E+12
HALOPERIDOL DECANOATO (70,52) = 50MG APRES. CX. C/3 AMP.1ML (UNIAO QUIMICA);7.89601E+12
ACIDO TRANEXAMICO 250MG/5ML TRANSAMIN (--);7.89746E+12
AMOXICILINA + CLAV POTASSIO 500MG/125MG APRES CX C/21 CPR (SANDOZ);7.8976E+12
DEXCLORFENIRAMINA 2 MG FRASCO 100ML (HIPOLABOR-MG);7.89847E+12
CARBAMAZEPINA 2 % FRASCO 100ML (UNIAO QUIMICA);7.89601E+12
CARVEDILOL 3,125MG CPR C/1000 (NOVA QUIMICA);7.8953E+12
BROMETO IPRATROPIO 0,25MG/ML FR.20 ML;7.89611E+12
METOPROLOL SUCCINATO 50MG C/1000 (ACCORD);7.89895E+12
CARVEDILOL 6,25MG CX.C/30 CPR (NOVA QUIMICA);7.8953E+12
CARVEDILOL 12,5MG CX.C/30 CPR (NOVA QUIMICA);7.8953E+12
CARVEDILOL 3,125MG CX.C/30 CPR (NOVA QUIMICA);7.8953E+12
FUROSEMIDA 10MG/ML 2ML CX.C/100 (G) (--);7.8984E+12
MED 169 - DEXCLORAFENIRAMINA 2MG CP (GEOLAB-GO);7.8991E+12
CARVEDILOL 12,5MG CPR (NOVA QUIMICA);7.8953E+12
DEXCLORFENIRAMINA 2 MG C/1 (HIPOLABOR-MG);7.89847E+12
AMITRIPTILINA 25 MG CX/200 CPR (G) *(C1) (NEO QUIMICA);7.89671E+12
CLINDAMICINA 600 MG/4ML (GEN) AMP (HIPOLABOR-MG);7.89812E+12
MIDAZOLAN 15MG APRES. CX/20 CPRS (CRISTALIA-SP);7.89668E+12
CLOPIDOGREL 75MG COMP (SANDOZ);7.8976E+12
AMOXI+CLAV.POTASSIO 500MG/ CPR (SANDOZ);7.8976E+12
HALOPERIDOL DECANOATO (70,52) = 50MG APRES. CX. C/3 AMP.1ML;7.89601E+12
HALOPERIDOL DECANOATO (70,52) = 50MG CX/5 AMP 1ML (UNIAO QUIMICA);7.89601E+12
SEVOFLURANO FR. 250 ML *(C-1) VOFLUR (--);7.89601E+12
FOSF.SOD.MONOB.+FOSF.SOD.DIB. 130ML+CANULA (--);7.89668E+12
MED 129 - CISATRACURIO 2MG/ML SOL INJ APRES AMP 5ML (CRISTALIA-SP);7.89668E+12
NORETISTERONA 0,35MG CX.C/35 NORESTIN (BIOLAB SANUS-SP);7.89624E+12
MED 104 - CARVEDILOL 6,25MG CPR (NOVA QUIMICA);7.8953E+12
DEXCLORFENIRAMINA 2MG FR 100ML (HIPOLABOR-MG);7.89847E+12
OMEPRAZOL 20MG CX/1000 CPRS;7.89815E+12
MIDAZOLAN 5MG/ML C/50AMP 10ML DORMIUM;7.89601E+12
AMITRIPTILINA 25 MG CX/200 CPR (G) *(C1) (BRAINFARMA);7.89671E+12
ACETILCISTEINA 600MG ENV C/5G ENV (GEOLAB-GO);7.8991E+12
ACETILCISTEINA 600MG ENV C/5G C/50 ENV;7.8991E+12
AMITRIPTILINA 25 MG CX/200 CP (G) *(C1);7.89671E+12
HALOPERIDOL DECAN. 70,52MG/ML AMP. 1ML;7.89601E+12
AMOXI+CLAV.POTASSIO 500MG/125MG APRES. CX/21 CPRS (SANDOZ);7.8976E+12
MED 133 - CLINDAMICINA 600 MG AMP 4ML (HIPOLABOR-MG);7.89812E+12
MED 345 - MORFINA 10MG APRES CX C/50 CPR (CRISTALIA-SP);7.89668E+12
METILDOPA 250MG CP CX C/30 (EMS );7.896E+12
MED 4 - ACETILCISTEINA 600MG ENV ENV. C/5G (GEOLAB-GO);7.8991E+12
CISATRACURIO 2MG/ML SOL INJ C/1 (ACCORD);7.89895E+12
CARVEDILOL 6,25MG C/30 CPR GEN (EMS);7.896E+12
MIDAZOLAN 5MG/ML CX/100 AMP 10ML (*B1);7.89812E+12
MED 340 - MIDAZOLAN 15MG APRES CX C/100 AMP 3ML (HIPOLABOR-MG);7.89812E+12
CARVEDILOL 3,125MG C/30 CPR (G);7.896E+12
AMOXI+CLAV.POTASSIO 500MG/125 MG CX/21 CPR (SANDOZ);7.8976E+12
MIDAZOLAN 5MG/ML CX/100 AMP 10ML (*B1) (HIPOLABOR-MG);7.89812E+12
AGUA PARA INJECAO SF 100ML SOLUFLEX BOLSA - HALEXISTAR;7.89673E+12
BACLOFENO 10 MG COMP (S);7.89611E+12
SOLUCAO ENEMA DE GLICERINA 12% 500ML;7.89614E+12
ENOXAPARINA 40 MG DISP SEG (S);7.89132E+12
DIMETICONA 75MG/ML GTS 10ML (G);4061069
AMOX+CLAV DE POTASSIO 1000+200MG FR (S);7.89601E+12
ENOXAPARINA 80 MG DISP SEG (S);7.89132E+12
NIMODIPINO 30 MG COMP (S);7.89805E+12
ENOXAPARINA 60 MG DISP SEG (S);7.89132E+12
GLICOSE 05% 500ML FRS CX C/20;7.89815E+12
DOBUTAMINA 12,5MG/ML IV AMP CX 10AMP 20ML;7.89812E+12
GLICERINA 12% FRS 500ML CX C/24;7.89815E+12
SORO FISIOLOGICO 0,9% 250ML CX C/40;7.89815E+12
BETAMETASONA ACETATO+FOSF.BETA 3MG/ML+3MG 25AMP 1ML (G)   BETA LONG;7.89601E+12
CARVEDILOL 12,5MG CX 30CPR;7.896E+12
PENTOXIFILINA 400MG CX 30CPR;7.896E+12
AGUA P/ INJECAO FRS 250ML SISTEMA FECHADO FRS CX C/40;7.89815E+12
CARVEDILOL 3,125MG CX 30CPR;7.896E+12
GLICOSE 05% 250ML CX C/40;7.89815E+12
TERBUTALINA 0,5MG/ML CX 50AMP 1ML   TERBUTIL;7.89601E+12
DEXTRANA + HIPROMELOSE OFT 15ML   LACRIBELL;7.89618E+12
HIDROXIDO FERRICO 20MG/ML CX 5AMP 5ML   SUCROFER;8.90234E+12
SULFATO FERROSO 40MG 50CPR(FERRONIL)*S*;7.89611E+12
ATROPINA COL 1% 5ML *M*;7.89732E+12
SLOW K 20DRG *M*;7.89626E+12
BACLOFENO 10MG 20CPR *GENERICO*;7.89601E+12
DEXCLORFENIRAMINA 2MG 20CPR *GENERICO*;7.896E+12
VERSA 20MG 02SERINGAS 0,2ML *M*;7.89132E+12
BEDOZIL 5000MCG AMP 2ML *S*;7.89335E+12
DIPIRONA GTS 10ML *GENERICO*;7.896E+12
TENOXICAM 20MG 10CPR *GENERICO*;7.89686E+12
FENOTEROL GOTAS 20ML *GENERICO*;7.89611E+12
CLEXANE 20MG 2SER 0,2ML *M*;7.89106E+12
CABEREDUX 0,5MG 08CPR *M*;7.89668E+12
AMINOFILINA 200MG 20CPR *GENERICO*;7.89611E+12
PERMANGANATO POTASSIO 100MG C/10 *F*;7.8969E+12
AGUA OXIGENADA 10 VOL. 1 LITRO - RIOQUIMICA;7.89778E+12
AGUA BI DESTILADA 250ML FRASCO SIST. FECHADO - EUROFARMA;7.89892E+12
CLORETO DE POTASSIO 10% 10ML - SAMTEC;7.89842E+12
CLORETO DE SODIO 0,9% 10ML - SAMTEC;7.89842E+12
SOL. CLORETO DE SODIO 0,9% 250ML FRASCO - EUROFARMA;7.89892E+12
SOL. CLORETO DE SODIO 0,9% 500ML FRASCO - EUROFARMA;7.89892E+12
