description|ean
GEL P/ ECG 300GR VAGISPAC ADLIN|7898110000000
GEL P/ECG CONDUTOR, COMPOSICAO A BASE DE AGUA, CARACTERISTICAS ADICIONAIS PH NEUTRO  1 LITRO.|7898900000000
GEL P/ECG 100GR HALL|7898900000000
GEL PECG 1KG -|7898920000000
K-MED 100 G CIMED|7896520000000
GEL P/ ULTRASSONOGRAFIA 5KG|1000020000000
GEL P/ ECG 100G FR|7898900000000
GEL DE CONDUTIVIDADE ELETRICA P/ELETROENCEFALOGRAMA ( EEG)  - POTE C/1 KG|7898900000000
GEL CONDUTOR ULTRASSOM LOT180951 FAB.09/2018 (2ANOS)|7898110000000
GEL P ECG 1 KG HAL|7898900000000
GEL BARREIRA ANTIBACTERIANO C/ POLIHEXAM 30ML|7898940000000
GEL CONDUTOR PARA ULTRASSONOGRAFIA - FRASCO 100GR|7898920000000
GEL CONDUTOR PARA ULTRASSONOGRAFIA, 100GR|7898920000000
GEL MEGA 1KG|7898930000000
ELECTRON PLUS 1KG FR|7898900000000
GEL ULTRASSOM - FRASCO 100G|7898110000000
GEL CONDUTOR ULTRASSOM - FRASCO 100G CARBOGEL|7898110000000
K-SEX UNIAOQ SIM NATURAL GEL 50 GRS|7896010000000
K MED CIMED GEL 50 GRS|7896520000000
K-SEX UNIAOQ SIM HOT GEL 50 GRS|7896010000000
GEL ELETRO 1KG AZUL|7898900000000
GEL P/ECG 100GR MULTIGEL|7898920000000
GEL PARA ULTRASSONOGRAFIA 1KG  HAL|7898900000000
K-Y GEL LUBIF INTIMO 50G L50P40|7897210000000
GEL P/ECG 100G FABRICANTE: CARBOGEL|7898110000000
GEL P/ ECG - HAL|7898900000000
GEL P  ULTRASSONOGRAFIA 100G SONIC PLUS HAL|7898900000000
GEL P/ ECG 1000ML (1KG)  MULTIGEL|7898920000000
PASTA CONDUTORA P/ ELETROCARDIOGRAMA, ULTRASSONOGRAFIA, E DEMAIS, ACONDICIONADA EM FRASCO C/ NO MINIMO 100ML - MULTIGEL|7897810000000
GEL P/ ULTRA SOM GALAO 5KG|7898920000000
PURILON GEL 25G|5701780000000
GEL CONDUTOR PARA EXAME, HIPOALERGENICO E INODORO. 100ML|7898920000000
GEL P ECG 1KG MULTIGEL|7898920000000
GEL PARA ECG 100G MULTIGEL|7898920000000
GEL P/ECG 1KG MULTIGEL|7898920000000
METICEL (HIPROMELOSE/HPMC) 2% - SERINGA 1,5 ML|7898910000000
GEL P/ECG 1 KILO|7898900000000
MULTIGEL - GEL PARA ELETRODO FRASCO DE 100ML.|7898920000000
GEL PARA ECG 100GRS (CARBOGEL)|7898110000000
GERMI RIO QUATERNARIO DE AMONIO 5 LITROS RIOQUIMICA|9900000000000
MULTIGEL -GEL P/ULTRASSOM 1KG.|7898920000000
GEL P/ECG 100GR FRASCO HAL|7898900000000
POLIHEXAM SOLUGEL 100 ML SILK|7898940000000
DEBRIGEL ALG CA 30G SILK|7898910000000
METICEL 4% 1,5 ML - .|7898910000000
METICEL 2% 1,5ML - .|7898910000000
MULTIGEL - GEL P/ECG|7898920000000
MULTIGEL - GEL P/ECG (100ML)|7898920000000
GEL P/ECG 100GR BAG HAL|7898900000000
GEL PARA ULTRASSOM/ECG 100G INCOLOR CLINIGEL MULTIGEL|7898920000000
GEL P/ULTRASOM 01KG BAG HAL|7898900000000
DEBRIGEL ALG CA 85G SILK|7898910000000
MULTIGEL - GEL P/ ULTRASSOM 1KG|7898920000000
MULTIGEL - GEL PARA ECG - EMBALAGEM 100ML|7898920000000
MULTIGEL - GEL PARA ECG - EMBALAGEM 5 LITROS|7898920000000
GEL P/ ULTRASSON 100GR C/112 (TRANSP)-CARBOGEL|7898110000000
METILCELULOSE 2% SERINGA 1,5ML|7898150000000
HIALURONATO DE SODIO - AMVISC PLUS 0,8 - CODIGO: 60081L *-BL INDUSTRIA OTICA LTDA|16674
GEL GEL P ULTRASSONOGRAFICA 100 ML MULTIGEL|7898110000000
GEL PULTRASSONOGRAFIA 5000ML MULTIGEL|7898920000000
DEBRIGEL-ALGINATO DE CALCIO TUBO 85GR|7898910000000
GEL P/ ULTRASSONOGRAFIA GALAO 5 LT|7890000000000
EASY LUB TRADICIONAL INT 50 G TEU.|7896110000000
GEL P/ ULTRASSOM 5 KG PLURIGEL/CARBOGEL|5000000000000
K-Y GEL LUBRIF INT WARMING 71G|7891010000000
ALFAPORACTANTO CUROSURF 240 MG FR 03 ML|7896670000000
VENLAFAXINA 75MG (VENLIFT OD) CX C/ 30CPR|8903860000000
HIOSCINA COMPOSTA BUTILBROMETO DE ESCOPOLAMINA4MG/ML + DIPIRONA SODICA500MG/ML INJ 5ML HYPOCINA HYPOFARMA|7898120000000
FENITOINA 50MG/ML INJ 5ML C-1 GENERICO HIPOLABOR|7898120000000
SACARATO DE HIDROXIDO  FERRICO 20MG/ML IV SUCROFER UNIAO QUIMICA|8902340000000
SORO  GLICOSADO 5% INJ 250ML  KP FRESENIUS|7897950000000
EPINEFRINA 1MG/ML INJ 1ML ADREN HIPOLABOR|7898120000000
SORO  GLICOSADO 5% INJ 500ML KP FRESENIUS|7897950000000
SORO  FISIOLOGICO 0,9% INJ 100ML KP CLORETO DE SODIO FRESENIUS|7897950000000
RINGER C/LACTATO INJ 500ML KP FRESENIUS|7897950000000
CLORETO DE SODIO 0,9% INJ 10ML ISOFARMA|27898400000000
SORO  FISIOLOGICO 0,9% INJ 250 ML KP CLORETO DE SODIO FRESENIUS|7897950000000
SORO  GLICOSADO 5% INJ 100ML  KP FRESENIUS|7897950000000
SORO  FISIOLOGICO 0,9% INJ 500ML KP CLORETO DE SODIO FRESENIUS|7897950000000
METILERGOMETRINA 0,2MG INJ 1ML ERGOMETRIN UNIAO QUIMICA|7896010000000
ACIDO TRANEXAMICO 50MG/ML INJ 5ML GENERICO HIPOLABOR|7898470000000
AGUA  PARA INJECAO INJ 500ML KP GENERICO FRESENIUS|7897950000000
FENTANILA 50UG/ML INJ 10ML  CX/50 A-1 GENERICO HIPOLABOR|7898470000000
HEPARINA SOD. 5.000UI INJ 0,25ML  CX25AMP HEMOFOL CRISTALIA|7896680000000
SIMETICONA 75MG GOTAS 10ML GENERICO HIPOLABOR|7898120000000
CLORETO DE SODIO 10% INJ 10ML ISOFARMA|7898360000000
AGUA  PARA INJECAO INJ 20ML GENERICO ISOFARMA|7898360000000
SORO FISIOLGICO 0,9% 100ML (CX C/ 100 BOLSAS)|7898170000000
SIMETICONA GOTAS GEN. CX/200X10ML FR|7898470000000
SOL RINGER SIMPLES 500ML SF.|7897950000000
CLORETO DE SODIO A 0,9%  AMP 10ML.|7898360000000
AGUA PARA INJECAO  AMP 10ML.|7898360000000
BROMETO IPRATROPIO 20ML GEN.|7898470000000
CLOR DE CIPROFLOXACINO 500MG C/14 COMP GEN.*|7898100000000
SORO CLORETO SODIO 0,9% 500ML KABIPAC SF.|7897950000000
SORO CLORETO SODIO 0,9% 250ML SF.|7897950000000
SORO CLORETO DE SODIO 0,9% SF 100ML SOLUFLEX.|7896730000000
SORO GLICOSE 5% 500ML SF.|7897950000000
SOL DE GLICERINA 12% 500ML ESTERIL + SONDA SF.|7898170000000
SORO CLORETO DE SODIO 0,9% SF 500ML SOLUFLEX.|7896730000000
PRATI-SAL TRADICIONAL C/50 SACHES 27,9G.|7898150000000
ALUMIMAX 100ML (HIDROXIDO DE ALUMINIO).|7898130000000
HEPARINA SUBCU 5.000UI C/25X0,25ML|7896680000000
GLICOSE 25% AMP 10ML|7898360000000
DESLANOSIDIO 0,2MG/ML AMP 2ML|7896010000000
SEVOFLURANO 1ML/1ML FR 100ML C1 (C1)|7896680000000
MORFINA 0,2MG/ML 1ML A1 (A1)|7896680000000
SOL. DE GLICOSE 5% 250ML S/F (FRASCO)|7897950000000
SOL. DE GLICOSE 5% 500ML S/F C/24|7898170000000
SOL. FISIOLOGICA 0,9% 100ML S/F (BOLSA)|7897950000000
SOL. FISIOLOGICA 0,9% 500ML S/F|7897950000000
HIDROCLOROTIAZIDA 25MG C/300CPR|7896110000000
AGUA PARA INJECAO 250ML S/F (FRASCO)|7897950000000
METILDOPA 500MG 30CPR (G)|7896000000000
SOL. DE RINGER C/LACTATO 500ML S/F|7896730000000
AGUA PARA INJECAO 10ML|7898170000000
DIMETICONA 75MG/ML FR 10ML|7898470000000
SOL. FISIOLOGICA 0,9% 100ML S/F (FRASCO)|7897950000000
SOL. DE GLICOSE 5% 500ML S/F (FRASCO)|7897950000000
AMINOFILINA 240MG AMP 10 ML|7898170000000
AGUA PARA INJECAO 20ML|7898360000000
SOL. FISIOLOGICA 0,9% 500ML S/F (FRASCO)|7897950000000
SULFATO DE MAGNESIO 50% AMP 10ML|7898360000000
NITROGLICERINA(TRIDIL)5MG/ML AMP 10ML|7896680000000
OMEPRAZOL 40MG AMP10ML+DIL50FA(UNIPRAZ.)|7896010000000
NIFEDIPINA 10MG 450CPR|7899100000000
HIDROX. DE ALUMINIO 100ML|7898130000000
GLICOSE 50% AMP 10ML|7898170000000
CLORETO DE SODIO 0,9% AMP 10ML|7898170000000
NITROPRUS.SODIO(NIPRID)NITROP 25MG/ML2ML|7898120000000
SUP. DE GLICERINA INF. C/12|7896510000000
NITAZOXAMIDA(ANNITA)500MG 6CPR|7898040000000
MORFINA 10MG/ML 1ML A1 (A1)|7898120000000
FENOTEROL 0,5% FR 20ML|7898150000000
SORO REHIDRAT. PO 27,9G 50ENV|7898130000000
ETILEFRINA 10MG/ML AMP 1ML|7896010000000
BICARB. DE SODIO 8,4% AMP 10ML|7898170000000
CEFALOTINA 1,0G 100FA|7896010000000
SOL. DE RINGER S/LACTATO 500ML S/F|7897950000000
ETOMIDATO 2MG/ML AMP 10ML|7896680000000
SOL. FISIOLOGICA 0,9% 250ML S/F|7898170000000
NEOCAINA 0,5% PES.10X4M (BUPIV+GLICOS)|8902340000000
SOL. FISIOLOGICA 0,9% 250ML S/F (FRASCO)|7897950000000
FLORAX SUSP. ADT FLAC 5 ML (C/100)|7896690000000
OLEO MINERAL 100ML|7898130000000
FLUCONAZOL 150MG 500CAPS|7898050000000
FENTANILA 0,05MG/ML2ML(FENTANEST)A1 50U (A1)|7896680000000
ESCOVA P/ASSEP. C/PVPI 48UN|7896680000000
SOL. DE GLICOSE 5% 100ML S/F (FRASCO)|7897950000000
CLORETO DE POTASSIO 10% 10ML|7898170000000
CLORETO DE SODIO 20% AMP 10ML|7898360000000
FLORAX SUSP. PED. FLAC 5ML (C/100)|7896690000000
SULFATO FERROSO 40MG C/500CPR|7896200000000
FLUCONAZOL 150MG 100CPR|7896860000000
ISOSSORBIDA(ISORDIL) 5MG SUBL 30CPR|7894920000000
SOL. FISIOLOGICA 0,9% 100ML S/F|7898170000000
HIOSCINA SIMPLES 1ML 20MG 6AMP|7896110000000
GLICONATO DE CALCIO 10% AMP 10 ML|7898360000000
HEMAX INJ 10.000 UI CX 01 (BIOSINTETICA)|7896180000000
TECNOCRIS 1MG CX C/01 F/A 1ML - VINCRISTINA (+)|7892950000000
B-PLATIN 150MG SOL. INJ. CX C/01 F/A 15ML - CARBOPLATINA (+)|7896010000000
CLEXANE SAFETY LOCK 20MG 10 SERINGAS|7891060000000
CLEXANE SAFETY LOCK 40MG 10 SERINGAS|7896070000000
MEVATYL 27MG/ML 3FR X 10ML|7898930000000
METREXATO-METOTREXATO 2,5 MG CX C/24 COMP|7896010000000
PERMANGANATO DE POTASSIO 100MG CPRS|7898920000000
SULFATO FERROSO CPR.|7899470000000
ACIDO TRANEXAMICO 250MG/5ML AMP.5ML (HIPOLABOR-MG)|7898470000000
AMINOFILINA 100 MG CPR (VITAPAN-GO)|7898050000000
OLEO MINERAL 100MG/ML FR.100 ML|7898180000000
AMOXI+CLAV.POTASSIO 500MG/125M MG CPR (SANDOZ)|7897600000000
AMINOFILINA 100MG APRES. CX/500 CPRS (VITAMEDIC)|7898050000000
TOPIRAMATO 50MGCPRS (ZYDUS)|7898930000000
ESCITALOPRAM 10MG CPRS (GEOLAB-GO)|7899100000000
MIDAZOLAM 15MG GEN CPRS|7896420000000
12868 - DEXCLORFENIRAMINA 2 MG CPRS (GEOLAB-GO)|7899100000000
CLOPIDOGREL 75 MG COMP. (SANDOZ)|7897600000000
11382 - DEXCLORFENIRAMINA 2MG FRASCO 100ML (HIPOLABOR-MG)|7898470000000
6118 - CARVEDILOL 6,25MG CPRS (NOVA QUIMICA)|7895300000000
6034 - CARVEDILOL 12,5MG CPRS (NOVA QUIMICA)|7895300000000
5879 - CARVEDILOL 3,125MG CPRS (NOVA QUIMICA)|7895300000000
DOXAZOSINA 4MG CPRS (G) (SANDOZ)|7897600000000
CLOPIDOGREL 75 MG CX/28 COMP (G) (SANDOZ)|7897600000000
DEXCLORFENIRAMINA 2 MG COMP COMP (GEOLAB-GO)|7899100000000
SAIS P/REHIDRAT.ORAL ENV. (NATULAB)|7898130000000
HALOPERIDOL DECAN. 70,52MG/ML C/3 AMP. 1ML|7896010000000
HALOPERIDOL DECANOATO (70,52) = 50MG C/3 AMP.1ML|7896010000000
SEVOFLURANO 1ML/ML SOL INAL FR C/250 ML-GGREM - 513405703175111- (BIOCHIMICO-RJ)|7897410000000
NITROGLICERINA 50 MG 10ML C/10 C/1 AMP (CRISTALIA-SP)|7896680000000
FOSF.SOD. MONOB.+FOST.SOD.DIB130ML-GGREM - 540414090008903- (NATULAB)|7898130000000
ONDANSETRONA 4 MG CX/100 AMP 2 ML (HALEX ISTAR-GO)|7896730000000
MORFINA 10MG/ML CX/100 AMP 1ML *(A-1) GEN (HIPOLABOR-MG)|7898120000000
CLOPIDOGREL 75 MG CX/28 COMP (G)|7897600000000
MIDAZOLAN 50MG AMP 10ML (HIPOLABOR-MG)|7898120000000
AMOXI+CLAV.POTASSIO 500MG/125 CPR (SANDOZ)|7897600000000
10351 - AMOXI+CLAV.POTASSIO 500MG/125 MG CX C/21 CPRS (SANDOZ)|7897600000000
RANITIDINA 150 MG GEN CPR (MEDQUIMICA-MG)|7896860000000
LEVOFLOXACINO 5MG/ML INJ. BOL.100ML (CRISTALIA-SP)|7896680000000
FOSF.SOD. MONOB.+FOST.SOD.DIB C/1 (NATULAB)|7898130000000
RANITIDINA XAROPE 120ML (G) (NATIVITA)|7897850000000
ONDANSETRONA 4 MG CX/100 AMP C/ 1 AMP (..)|7896730000000
ROSUVASTATINA CALCICA 10MG CPRS (SANDOZ)|7897600000000
DOXAZOSINA 4MG C/30 CPRS (G)|7897600000000
BROMETO IPRATROPIO 0,25MG/ML FR.20 ML GEN|7896110000000
AMITRIPTILINA 25 MG CPR C/1000 (NEO QUIMICA)|7896710000000
CARVEDILOL 12,5MG CPR C/1000 (NOVA QUIMICA)|7895300000000
MED 339 - MIDAZOLAN 50MG APRES CX C/100 AMP 10ML (HIPOLABOR-MG)|7898120000000
CLINDAMICINA 600 MG CX/ 50 AMP 4 ML (--)|7898120000000
HALOPERIDOL 1MG CX/200 CPRS C/1 (CRISTALIA-SP)|7896680000000
MED 260 - HALOPERIDOL DECAN. 70,52MG/ML APRES CX C/3 AMP. 1ML (UNIAO QUIMICA)|7896010000000
MED 346 - MORFINA 10MG/ML APRES CX C/100 AMP 1ML (HIPOLABOR-MG)|7898120000000
SECNIDAZOL 1000MG CPR DECNAZOL (PHARLAB-MG)|7898220000000
MED 134 - CLINDAMICINA 300 MG CPR (UNIAO QUIMICA)|7896010000000
MED169 - DEXCLORAFENIRAMINA 2MG CP (GEOLAB-GO)|7899100000000
MED103 - CARVEDILOL 3,125MG CPR (NOVA QUIMICA)|7895300000000
MED104 - CARVEDILOL 6,25MG CPR (NOVA QUIMICA)|7895300000000
CARVEDILOL 12,5MG CPR CARDBET (NOVA QUIMICA)|7895300000000
HALOPERIDOL DECANOATO (70,52) = 50MG APRES. CX. C/3 AMP.1ML (UNIAO QUIMICA)|7896010000000
ACIDO TRANEXAMICO 250MG/5ML TRANSAMIN (--)|7897460000000
AMOXICILINA + CLAV POTASSIO 500MG/125MG APRES CX C/21 CPR (SANDOZ)|7897600000000
DEXCLORFENIRAMINA 2 MG FRASCO 100ML (HIPOLABOR-MG)|7898470000000
CARBAMAZEPINA 2 % FRASCO 100ML (UNIAO QUIMICA)|7896010000000
CARVEDILOL 3,125MG CPR C/1000 (NOVA QUIMICA)|7895300000000
BROMETO IPRATROPIO 0,25MG/ML FR.20 ML|7896110000000
METOPROLOL SUCCINATO 50MG C/1000 (ACCORD)|7898950000000
CARVEDILOL 6,25MG CX.C/30 CPR (NOVA QUIMICA)|7895300000000
CARVEDILOL 12,5MG CX.C/30 CPR (NOVA QUIMICA)|7895300000000
CARVEDILOL 3,125MG CX.C/30 CPR (NOVA QUIMICA)|7895300000000
FUROSEMIDA 10MG/ML 2ML CX.C/100 (G) (--)|7898400000000
MED 169 - DEXCLORAFENIRAMINA 2MG CP (GEOLAB-GO)|7899100000000
CARVEDILOL 12,5MG CPR (NOVA QUIMICA)|7895300000000
DEXCLORFENIRAMINA 2 MG C/1 (HIPOLABOR-MG)|7898470000000
AMITRIPTILINA 25 MG CX/200 CPR (G) *(C1) (NEO QUIMICA)|7896710000000
CLINDAMICINA 600 MG/4ML (GEN) AMP (HIPOLABOR-MG)|7898120000000
MIDAZOLAN 15MG APRES. CX/20 CPRS (CRISTALIA-SP)|7896680000000
CLOPIDOGREL 75MG COMP (SANDOZ)|7897600000000
AMOXI+CLAV.POTASSIO 500MG/ CPR (SANDOZ)|7897600000000
HALOPERIDOL DECANOATO (70,52) = 50MG APRES. CX. C/3 AMP.1ML|7896010000000
HALOPERIDOL DECANOATO (70,52) = 50MG CX/5 AMP 1ML (UNIAO QUIMICA)|7896010000000
SEVOFLURANO FR. 250 ML *(C-1) VOFLUR (--)|7896010000000
FOSF.SOD.MONOB.+FOSF.SOD.DIB. 130ML+CANULA (--)|7896680000000
MED 129 - CISATRACURIO 2MG/ML SOL INJ APRES AMP 5ML (CRISTALIA-SP)|7896680000000
NORETISTERONA 0,35MG CX.C/35 NORESTIN (BIOLAB SANUS-SP)|7896240000000
MED 104 - CARVEDILOL 6,25MG CPR (NOVA QUIMICA)|7895300000000
DEXCLORFENIRAMINA 2MG FR 100ML (HIPOLABOR-MG)|7898470000000
OMEPRAZOL 20MG CX/1000 CPRS|7898150000000
MIDAZOLAN 5MG/ML C/50AMP 10ML DORMIUM|7896010000000
AMITRIPTILINA 25 MG CX/200 CPR (G) *(C1) (BRAINFARMA)|7896710000000
ACETILCISTEINA 600MG ENV C/5G ENV (GEOLAB-GO)|7899100000000
ACETILCISTEINA 600MG ENV C/5G C/50 ENV|7899100000000
AMITRIPTILINA 25 MG CX/200 CP (G) *(C1)|7896710000000
HALOPERIDOL DECAN. 70,52MG/ML AMP. 1ML|7896010000000
AMOXI+CLAV.POTASSIO 500MG/125MG APRES. CX/21 CPRS (SANDOZ)|7897600000000
MED 133 - CLINDAMICINA 600 MG AMP 4ML (HIPOLABOR-MG)|7898120000000
MED 345 - MORFINA 10MG APRES CX C/50 CPR (CRISTALIA-SP)|7896680000000
METILDOPA 250MG CP CX C/30 (EMS )|7896000000000
MED 4 - ACETILCISTEINA 600MG ENV ENV. C/5G (GEOLAB-GO)|7899100000000
CISATRACURIO 2MG/ML SOL INJ C/1 (ACCORD)|7898950000000
CARVEDILOL 6,25MG C/30 CPR GEN (EMS)|7896000000000
MIDAZOLAN 5MG/ML CX/100 AMP 10ML (*B1)|7898120000000
MED 340 - MIDAZOLAN 15MG APRES CX C/100 AMP 3ML (HIPOLABOR-MG)|7898120000000
CARVEDILOL 3,125MG C/30 CPR (G)|7896000000000
AMOXI+CLAV.POTASSIO 500MG/125 MG CX/21 CPR (SANDOZ)|7897600000000
MIDAZOLAN 5MG/ML CX/100 AMP 10ML (*B1) (HIPOLABOR-MG)|7898120000000
AGUA PARA INJECAO SF 100ML SOLUFLEX BOLSA - HALEXISTAR|7896730000000
BACLOFENO 10 MG COMP (S)|7896110000000
SOLUCAO ENEMA DE GLICERINA 12% 500ML|7896140000000
ENOXAPARINA 40 MG DISP SEG (S)|7891320000000
DIMETICONA 75MG/ML GTS 10ML (G)|4061069
AMOX+CLAV DE POTASSIO 1000+200MG FR (S)|7896010000000
ENOXAPARINA 80 MG DISP SEG (S)|7891320000000
NIMODIPINO 30 MG COMP (S)|7898050000000
ENOXAPARINA 60 MG DISP SEG (S)|7891320000000
GLICOSE 05% 500ML FRS CX C/20|7898150000000
DOBUTAMINA 12,5MG/ML IV AMP CX 10AMP 20ML|7898120000000
GLICERINA 12% FRS 500ML CX C/24|7898150000000
SORO FISIOLOGICO 0,9% 250ML CX C/40|7898150000000
BETAMETASONA ACETATO+FOSF.BETA 3MG/ML+3MG 25AMP 1ML (G)   BETA LONG|7896010000000
CARVEDILOL 12,5MG CX 30CPR|7896000000000
PENTOXIFILINA 400MG CX 30CPR|7896000000000
AGUA P/ INJECAO FRS 250ML SISTEMA FECHADO FRS CX C/40|7898150000000
CARVEDILOL 3,125MG CX 30CPR|7896000000000
GLICOSE 05% 250ML CX C/40|7898150000000
TERBUTALINA 0,5MG/ML CX 50AMP 1ML   TERBUTIL|7896010000000
DEXTRANA + HIPROMELOSE OFT 15ML   LACRIBELL|7896180000000
HIDROXIDO FERRICO 20MG/ML CX 5AMP 5ML   SUCROFER|8902340000000
SULFATO FERROSO 40MG 50CPR(FERRONIL)*S*|7896110000000
ATROPINA COL 1% 5ML *M*|7897320000000
SLOW K 20DRG *M*|7896260000000
BACLOFENO 10MG 20CPR *GENERICO*|7896010000000
DEXCLORFENIRAMINA 2MG 20CPR *GENERICO*|7896000000000
VERSA 20MG 02SERINGAS 0,2ML *M*|7891320000000
BEDOZIL 5000MCG AMP 2ML *S*|7893350000000
DIPIRONA GTS 10ML *GENERICO*|7896000000000
TENOXICAM 20MG 10CPR *GENERICO*|7896860000000
FENOTEROL GOTAS 20ML *GENERICO*|7896110000000
CLEXANE 20MG 2SER 0,2ML *M*|7891060000000
CABEREDUX 0,5MG 08CPR *M*|7896680000000
AMINOFILINA 200MG 20CPR *GENERICO*|7896110000000
PERMANGANATO POTASSIO 100MG C/10 *F*|7896900000000
AGUA OXIGENADA 10 VOL. 1 LITRO - RIOQUIMICA|7897780000000
AGUA BI DESTILADA 250ML FRASCO SIST. FECHADO - EUROFARMA|7898920000000
CLORETO DE POTASSIO 10% 10ML - SAMTEC|7898420000000
CLORETO DE SODIO 0,9% 10ML - SAMTEC|7898420000000
SOL. CLORETO DE SODIO 0,9% 250ML FRASCO - EUROFARMA|7898920000000
SOL. CLORETO DE SODIO 0,9% 500ML FRASCO - EUROFARMA|7898920000000
GLICOSE 25% 10ML - SAMTEC|7898420000000
SOL. RINGER LACTATO 500ML FRASCO - EUROFARMA|7898920000000
SOL. GLICOSE 5% 500ML FRASCO - EUROFARMA|7898920000000
SOL. GLICOSE 5% 250ML FRASCO - EUROFARMA|7898920000000
AGUA BI DEST.10ML - SAMTEC|7898420000000
GLICOSE 50% 10ML - SAMTEC|7898420000000
SOL. GLICOSE 5% 100ML SIST.FECHADO - FRESENIUS KABI|7897950000000
CLORETO DE SODIO 20% 10ML - SAMTEC|7898420000000
AGUA OXIGENADA 10 VOL. 1 LITRO - - RIOQUIMICA|7897780000000
RINGER C/LACTATO SODIO 500ML SANOBI|7898150000000
CLINDAMICINA 600MG IMIV INJ 4ML GEN HIPOLABOR|7898120000000
ADRENALINA (EPINEFRINA)1MG 1ML IM-IV-SC  HIPOLABOR|7898120000000
AMINOFILINA 240MG 10 ML INJ GEN FARMACE|7898170000000
METRONIDAZOL 250MG C/20 CPR GEN PRATI|7898150000000
GENTAMICINA 80MG 2ML INJ IM/IV GEN HIPOLABOR|7898120000000
DIMETICONA (SIMETICONA) 75MG 10ML GTS NATULAB|7899470000000
